Title,Weight,Rating,Review and Rating,Speed,Warranty,Actual Price,Offer,Final Price After Discount
"Godrej 7 kg 5 Star, Zero Pressure Technology Fills Tub 60% Faster, Stainless Steel Gravity Drum Fully ...",7 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹27,000",47% off,"₹14,100"
"SAMSUNG 12 kg 5 Star, AI Control, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam, Digital Inverter Mo...",12 kg,4.3,"16,868 Ratings & 1,269 Reviews",1400,2,"₹60,990",22% off,"₹46,990"
"LG 8 kg 5 Star, AI Direct Drive Technology, Steam, 6 Motion DD Fully Automatic Front Load Washing Mach...",8 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹50,990",27% off,"₹36,990"
SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,7 kg,4.3,"82,199 Ratings & 5,580 Reviews",680,,"₹21,000",27% off,"₹15,290"
Admiral 7.5 kg Semi Automatic Top Load Washing Machine White,7.5 kg,4.3,139 Ratings & 9 Reviews,1350,3,"₹10,949",13% off,"₹9,490"
"MarQ by Flipkart 7.5 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Maroon, W...",7.5 kg,4.3,"56,300 Ratings & 5,683 Reviews",1350,2,"₹14,990",45% off,"₹8,190"
"LG 7 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Aut...",7 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹27,490",36% off,"₹17,490"
InnoQ 7 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹17,990",61% off,"₹6,990"
"LG 8 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Aut...",8 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹28,990",32% off,"₹19,490"
InnoQ 7 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹17,990",61% off,"₹6,990"
Haier 14 kg Semi Automatic Top Load Washing Machine Black,14 kg,5,3 Ratings & 0 Reviews,1300,3,"₹31,000",35% off,"₹19,990"
Godrej 6.5 kg 5 Star With I-Wash Technology Washing Machine Fully Automatic Top Load Grey,6.5 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹17,900",27% off,"₹12,990"
"Reliance 7.5 kg Washer only Red, White",7.5 kg,4.1,198 Ratings & 12 Reviews,1350,1,"₹8,499",40% off,"₹5,099"
"Voltas Beko by A Tata Product 10 kg Semi Automatic Top Load Washing Machine Blue, White",10 kg,4.3,"18,225 Ratings & 1,310 Reviews",1350,2,"₹20,590",33% off,"₹13,690"
realme TechLife 8 kg Soft closing Glass lid Fully Automatic Top Load Washing Machine with In-built Hea...,8 kg,4.1,"1,264 Ratings & 121 Reviews",700,2,"₹28,990",51% off,"₹13,990"
"Whirlpool 8 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi Aut...",8 kg,4.4,"30,285 Ratings & 2,124 Reviews",1400,4,"₹16,400",23% off,"₹12,490"
"Haier 8 kg With Ultra Fresh Air Technology, Oceanus Wave Steel Drum, Balance Clean Pulsator, Custom Wa...",8 kg,4,4 Ratings & 0 Reviews,780,2,"₹27,000",40% off,"₹15,990"
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",7 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹44,490",32% off,"₹29,990"
"Whirlpool 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Black, Grey",7 kg,4.3,"15,148 Ratings & 1,113 Reviews",740,2,"₹21,650",21% off,"₹16,990"
InnoQ 7 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹17,990",61% off,"₹6,990"
"IFB 9 kg 5 Star AI Powered,� with 2X Power Steam Fully Automatic Front Load Washing Machine with In-bu...",9 kg,4.3,"89,954 Ratings & 8,846 Reviews",1400,4,"₹54,190",35% off,"₹34,990"
"LG 9 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam Fully Automatic Front Load Washin...",9 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹52,990",32% off,"₹35,990"
"Haier 9 kg Oxyi Dry Technology, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi A...",9 kg,4.3,"3,122 Ratings & 181 Reviews",1300,3,"₹19,000",36% off,"₹11,990"
"Haier 8 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",8 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹30,000",43% off,"₹16,990"
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...",9 kg,4.3,"16,868 Ratings & 1,269 Reviews",1400,,"₹54,900",36% off,"₹34,990"
Thomson 8.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,8.5 kg,4.1,"22,527 Ratings & 1,994 Reviews",1400,2,"₹12,499",28% off,"₹8,999"
"Godrej 7 kg 5 Star, Zero Pressure Technology Fills Tub 60% Faster, Stainless Steel Gravity Drum Fully ...",7 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹27,000",47% off,"₹14,100"
"Haier 7 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",7 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹26,000",47% off,"₹13,690"
Thomson 11 kg PureWash Fully Automatic Top Load Washing Machine Grey,11 kg,4.1,"5,765 Ratings & 1,099 Reviews",900,2,"₹21,499",25% off,"₹15,999"
Thomson 10 kg 5 Star Aqua Magic Grande Series with Floral Toughened Glass with Soft Closure and Double...,10 kg,4.1,"22,527 Ratings & 1,994 Reviews",1400,2,"₹14,999",26% off,"₹10,999"
Admiral 8 kg Semi Automatic Top Load Washing Machine Black,8 kg,4.3,139 Ratings & 9 Reviews,1350,3,"₹12,099",13% off,"₹10,490"
Whirlpool 6.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,6.5 kg,4.1,"33,761 Ratings & 2,256 Reviews",740,2,"₹21,150",24% off,"₹15,990"
"LG 7 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Aut...",7 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹27,490",36% off,"₹17,490"
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",7 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹44,490",32% off,"₹29,990"
"Admiral 8.5 kg Semi Automatic Top Load Washing Machine Blue, White",8.5 kg,4.3,139 Ratings & 9 Reviews,1350,3,"₹12,649",13% off,"₹10,990"
"LG 8 kg 5 Star with Roller Jet Pulsator with Soak, Wind Jet Dry and Rat Away, 6 Kg (Spin Tub Capacity)...",8 kg,4.5,"6,047 Ratings & 400 Reviews",1300,2,"₹19,990",30% off,"₹13,990"
InnoQ 7 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹17,990",61% off,"₹6,990"
Haier 14 kg Semi Automatic Top Load Washing Machine Black,14 kg,5,3 Ratings & 0 Reviews,1300,3,"₹31,000",35% off,"₹19,990"
"SAMSUNG 11.5 kg Semi Automatic Top Load Washing Machine Black, Grey",11.5 kg,4.4,373 Ratings & 34 Reviews,1300,,"₹23,200",20% off,"₹18,499"
realme TechLife 8 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,8 kg,4.1,"14,293 Ratings & 1,572 Reviews",700,2,"₹23,990",44% off,"₹13,290"
"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...",7 kg,4.3,"89,954 Ratings & 8,846 Reviews",1200,4,"₹37,090",17% off,"₹30,490"
"MarQ by Flipkart 10 kg Semi Automatic Top Load Washing Machine Maroon, White",10 kg,4.3,"56,300 Ratings & 5,683 Reviews",1350,2,"₹17,990",45% off,"₹9,790"
"Haier 9 kg Oxyi Dry Technology, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi A...",9 kg,4.3,"3,122 Ratings & 181 Reviews",1300,3,"₹19,000",36% off,"₹11,990"
"Haier 8 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",8 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹30,000",43% off,"₹16,990"
"SAMSUNG 8 kg 5 star, Ecobubble, Super Speed, Wi-Fi, Digital Inverter, Fully Automatic Top Load Washing...",8 kg,4.3,"24,659 Ratings & 1,977 Reviews",700,,"₹30,500",18% off,"₹25,000"
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,9 kg,4.3,"9,176 Ratings & 747 Reviews",1200,2,"₹59,990",35% off,"₹38,900"
"Godrej 7 kg 5 Star, Zero Pressure Technology Fills Tub 60% Faster, Stainless Steel Gravity Drum Fully ...",7 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹27,000",47% off,"₹14,100"
"LG 7 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Aut...",7 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹27,490",36% off,"₹17,490"
"Voltas Beko by A Tata Product 7.5 kg Washer only Maroon, White",7.5 kg,4.1,"2,359 Ratings & 170 Reviews",700,1,"₹7,490",21% off,"₹5,900"
"Whirlpool 11 kg 5 Star with Auto Restart, End of Cycle Buzzer and Faster Drying Semi Automatic Top Loa...",11 kg,4.4,"30,285 Ratings & 2,124 Reviews",1400,4,"₹21,200",19% off,"₹16,990"
Godrej 8 kg Semi Automatic Top Load Washing Machine Red,8 kg,4.4,231 Ratings & 13 Reviews,1440,2,"₹20,750",41% off,"₹12,210"
LG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater White,8 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹46,990",31% off,"₹31,990"
Haier 14 kg Semi Automatic Top Load Washing Machine Black,14 kg,5,3 Ratings & 0 Reviews,1300,3,"₹31,000",35% off,"₹19,990"
InnoQ 7 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹17,990",61% off,"₹6,990"
"Godrej 7.5 kg 5 Star With Rain Shower Spin Washing Machine Semi Automatic Top Load Grey, White",7.5 kg,4.3,"4,292 Ratings & 276 Reviews",1440,2,"₹16,000",33% off,"₹10,590"
"LG 9 Kg 5 Star, Inverter Direct Drive Technology, Wi-Fi Enabled, 6 Motion DD, Allergen free with Steam...",9 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹54,490",35% off,"₹34,990"
Godrej 6.5 kg 5 Star With I-Wash Technology Washing Machine Fully Automatic Top Load Grey,6.5 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹17,900",27% off,"₹12,990"
"Haier 8 kg With Ultra Fresh Air Technology, Oceanus Wave Steel Drum, Balance Clean Pulsator, Custom Wa...",8 kg,4,4 Ratings & 0 Reviews,780,2,"₹27,000",40% off,"₹15,990"
Reliance 7.5 kg Washer only Red,7.5 kg,,,1350,1,"₹8,499",5% off,"₹7,999"
"ONIDA 9 kg Washer only White, Maroon",9 kg,4.2,"29,629 Ratings & 3,180 Reviews",780,1,"₹7,050",6% off,"₹6,590"
"Whirlpool 9 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi Aut...",9 kg,4.4,"30,285 Ratings & 2,124 Reviews",1400,4,"₹18,700",25% off,"₹13,990"
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",8 kg,4.3,"89,954 Ratings & 8,846 Reviews",1400,4,"₹47,090",22% off,"₹36,590"
